Hash Code 2021

Simulation
----------
Duration     : 676
Intersections: 500
Streets      : 998
Cars         : 1000
Max score    : 921203
Bonus points : 500

Schedule
--------
Intersections   : 500
Street lights   : 956
Arrived cars    : 839
Earliest arrival: 3
Latest arrival  : 676
Crossed streets : 952
Total wait time : 85211
Schedule score  : 718069
Incremental Improver: 100 rounds
Greedy improver: 10 min wait time, 500 max streets per round
Street 633, intersection 499: 390 total wait time, 221 streets in the intersection
Street 933, intersection 499: 389 total wait time, 221 streets in the intersection
Street 941, intersection 499: 388 total wait time, 221 streets in the intersection
Street 757, intersection 499: 387 total wait time, 221 streets in the intersection
Street 997, intersection 499: 383 total wait time, 221 streets in the intersection
Street 389, intersection 499: 376 total wait time, 221 streets in the intersection
Street 297, intersection 499: 373 total wait time, 221 streets in the intersection
Street 37, intersection 499: 370 total wait time, 221 streets in the intersection
Street 845, intersection 499: 367 total wait time, 221 streets in the intersection
Street 133, intersection 499: 366 total wait time, 221 streets in the intersection
Street 149, intersection 499: 360 total wait time, 221 streets in the intersection
Street 661, intersection 499: 352 total wait time, 221 streets in the intersection
Street 329, intersection 499: 343 total wait time, 221 streets in the intersection
Street 49, intersection 499: 333 total wait time, 221 streets in the intersection
Street 1, intersection 499: 324 total wait time, 221 streets in the intersection
Street 917, intersection 499: 321 total wait time, 221 streets in the intersection
Street 881, intersection 499: 320 total wait time, 221 streets in the intersection
Street 313, intersection 499: 318 total wait time, 221 streets in the intersection
Street 433, intersection 499: 314 total wait time, 221 streets in the intersection
Street 293, intersection 499: 313 total wait time, 221 streets in the intersection
Street 409, intersection 499: 311 total wait time, 221 streets in the intersection
Street 953, intersection 499: 304 total wait time, 221 streets in the intersection
Street 345, intersection 499: 299 total wait time, 221 streets in the intersection
Street 261, intersection 499: 293 total wait time, 221 streets in the intersection
Street 213, intersection 499: 291 total wait time, 221 streets in the intersection
Street 741, intersection 499: 286 total wait time, 221 streets in the intersection
Street 469, intersection 499: 284 total wait time, 221 streets in the intersection
Street 993, intersection 499: 281 total wait time, 221 streets in the intersection
Street 753, intersection 499: 272 total wait time, 221 streets in the intersection
Street 653, intersection 499: 272 total wait time, 221 streets in the intersection
Street 373, intersection 499: 266 total wait time, 221 streets in the intersection
Street 805, intersection 499: 262 total wait time, 221 streets in the intersection
Street 717, intersection 499: 257 total wait time, 221 streets in the intersection
Street 309, intersection 499: 253 total wait time, 221 streets in the intersection
Street 825, intersection 499: 250 total wait time, 221 streets in the intersection
Street 173, intersection 499: 250 total wait time, 221 streets in the intersection
Street 541, intersection 499: 250 total wait time, 221 streets in the intersection
Street 861, intersection 499: 240 total wait time, 221 streets in the intersection
Street 609, intersection 499: 237 total wait time, 221 streets in the intersection
Street 385, intersection 499: 233 total wait time, 221 streets in the intersection
Street 849, intersection 499: 233 total wait time, 221 streets in the intersection
Street 989, intersection 499: 232 total wait time, 221 streets in the intersection
Street 125, intersection 499: 231 total wait time, 221 streets in the intersection
Street 461, intersection 499: 230 total wait time, 221 streets in the intersection
Street 853, intersection 499: 230 total wait time, 221 streets in the intersection
Street 217, intersection 499: 223 total wait time, 221 streets in the intersection
Street 697, intersection 499: 223 total wait time, 221 streets in the intersection
Street 785, intersection 499: 219 total wait time, 221 streets in the intersection
Street 405, intersection 499: 208 total wait time, 221 streets in the intersection
Street 533, intersection 499: 198 total wait time, 221 streets in the intersection
Street 865, intersection 499: 195 total wait time, 221 streets in the intersection
Street 117, intersection 499: 194 total wait time, 221 streets in the intersection
Street 549, intersection 499: 188 total wait time, 221 streets in the intersection
Street 65, intersection 499: 187 total wait time, 221 streets in the intersection
Street 101, intersection 499: 182 total wait time, 221 streets in the intersection
Street 689, intersection 499: 174 total wait time, 221 streets in the intersection
Street 645, intersection 499: 173 total wait time, 221 streets in the intersection
Street 801, intersection 499: 169 total wait time, 221 streets in the intersection
Street 889, intersection 499: 166 total wait time, 221 streets in the intersection
Street 425, intersection 499: 163 total wait time, 221 streets in the intersection
Street 201, intersection 499: 158 total wait time, 221 streets in the intersection
Street 597, intersection 499: 153 total wait time, 221 streets in the intersection
Street 381, intersection 499: 153 total wait time, 221 streets in the intersection
Street 273, intersection 499: 144 total wait time, 221 streets in the intersection
Street 705, intersection 499: 143 total wait time, 221 streets in the intersection
Street 841, intersection 499: 138 total wait time, 221 streets in the intersection
Street 901, intersection 499: 135 total wait time, 221 streets in the intersection
Street 185, intersection 499: 132 total wait time, 221 streets in the intersection
Street 873, intersection 499: 126 total wait time, 221 streets in the intersection
Street 945, intersection 499: 124 total wait time, 221 streets in the intersection
Street 113, intersection 499: 121 total wait time, 221 streets in the intersection
Street 789, intersection 499: 121 total wait time, 221 streets in the intersection
Street 53, intersection 499: 119 total wait time, 221 streets in the intersection
Street 821, intersection 499: 119 total wait time, 221 streets in the intersection
Street 13, intersection 499: 118 total wait time, 221 streets in the intersection
Street 765, intersection 499: 116 total wait time, 221 streets in the intersection
Street 965, intersection 499: 114 total wait time, 221 streets in the intersection
Street 305, intersection 499: 100 total wait time, 221 streets in the intersection
Street 973, intersection 499: 98 total wait time, 221 streets in the intersection
Street 797, intersection 499: 86 total wait time, 221 streets in the intersection
Street 721, intersection 499: 85 total wait time, 221 streets in the intersection
Street 837, intersection 499: 81 total wait time, 221 streets in the intersection
Street 325, intersection 499: 80 total wait time, 221 streets in the intersection
Street 673, intersection 499: 73 total wait time, 221 streets in the intersection
Street 257, intersection 499: 66 total wait time, 221 streets in the intersection
Street 517, intersection 499: 66 total wait time, 221 streets in the intersection
Street 761, intersection 499: 54 total wait time, 221 streets in the intersection
Street 277, intersection 499: 51 total wait time, 221 streets in the intersection
Street 685, intersection 499: 48 total wait time, 221 streets in the intersection
Street 161, intersection 499: 46 total wait time, 221 streets in the intersection
Street 773, intersection 499: 41 total wait time, 221 streets in the intersection
Street 29, intersection 499: 38 total wait time, 221 streets in the intersection
Street 321, intersection 499: 34 total wait time, 221 streets in the intersection
Street 573, intersection 499: 31 total wait time, 221 streets in the intersection
Street 657, intersection 499: 30 total wait time, 221 streets in the intersection
Street 441, intersection 499: 30 total wait time, 221 streets in the intersection
Street 229, intersection 499: 29 total wait time, 221 streets in the intersection
Street 69, intersection 499: 26 total wait time, 221 streets in the intersection
Street 485, intersection 499: 23 total wait time, 221 streets in the intersection
Street 169, intersection 499: 21 total wait time, 221 streets in the intersection
Street 357, intersection 499: 21 total wait time, 221 streets in the intersection
Street 737, intersection 499: 21 total wait time, 221 streets in the intersection
Street 513, intersection 499: 19 total wait time, 221 streets in the intersection
Street 560, intersection 281: 17 total wait time, 2 streets in the intersection
Street 380, intersection 191: 14 total wait time, 2 streets in the intersection
Street 776, intersection 389: 12 total wait time, 2 streets in the intersection
Street 527, intersection 263: 12 total wait time, 2 streets in the intersection
Street 724, intersection 363: 12 total wait time, 2 streets in the intersection
Street 732, intersection 367: 11 total wait time, 2 streets in the intersection
Street 465, intersection 499: 11 total wait time, 221 streets in the intersection
Street 824, intersection 413: 11 total wait time, 2 streets in the intersection
Street 15, intersection 7: 10 total wait time, 2 streets in the intersection
Street 812, intersection 407: 10 total wait time, 2 streets in the intersection
Street 479, intersection 239: 10 total wait time, 2 streets in the intersection
Street 188, intersection 95: 10 total wait time, 2 streets in the intersection
Street 780, intersection 391: 10 total wait time, 2 streets in the intersection
Round 1, new score: 720303
Greedy improver: 10 min wait time, 500 max streets per round
Street 9, intersection 499: 677 total wait time, 221 streets in the intersection
Street 569, intersection 499: 677 total wait time, 221 streets in the intersection
Street 145, intersection 499: 677 total wait time, 221 streets in the intersection
Street 225, intersection 499: 677 total wait time, 221 streets in the intersection
Street 489, intersection 499: 677 total wait time, 221 streets in the intersection
Street 285, intersection 499: 677 total wait time, 221 streets in the intersection
Street 21, intersection 499: 677 total wait time, 221 streets in the intersection
Street 109, intersection 499: 677 total wait time, 221 streets in the intersection
Street 137, intersection 499: 677 total wait time, 221 streets in the intersection
Street 553, intersection 499: 677 total wait time, 221 streets in the intersection
Street 341, intersection 499: 677 total wait time, 221 streets in the intersection
Street 317, intersection 499: 677 total wait time, 221 streets in the intersection
Street 233, intersection 499: 677 total wait time, 221 streets in the intersection
Street 781, intersection 499: 677 total wait time, 221 streets in the intersection
Street 833, intersection 499: 677 total wait time, 221 streets in the intersection
Street 269, intersection 499: 677 total wait time, 221 streets in the intersection
Street 289, intersection 499: 677 total wait time, 221 streets in the intersection
Street 777, intersection 499: 677 total wait time, 221 streets in the intersection
Street 41, intersection 499: 677 total wait time, 221 streets in the intersection
Street 621, intersection 499: 677 total wait time, 221 streets in the intersection
Street 337, intersection 499: 677 total wait time, 221 streets in the intersection
Street 89, intersection 499: 677 total wait time, 221 streets in the intersection
Street 641, intersection 499: 677 total wait time, 221 streets in the intersection
Street 581, intersection 499: 677 total wait time, 221 streets in the intersection
Street 961, intersection 499: 677 total wait time, 221 streets in the intersection
Street 477, intersection 499: 677 total wait time, 221 streets in the intersection
Street 365, intersection 499: 677 total wait time, 221 streets in the intersection
Street 333, intersection 499: 677 total wait time, 221 streets in the intersection
Street 141, intersection 499: 677 total wait time, 221 streets in the intersection
Street 713, intersection 499: 677 total wait time, 221 streets in the intersection
Street 377, intersection 499: 677 total wait time, 221 streets in the intersection
Street 869, intersection 499: 677 total wait time, 221 streets in the intersection
Street 17, intersection 499: 677 total wait time, 221 streets in the intersection
Street 85, intersection 499: 677 total wait time, 221 streets in the intersection
Street 589, intersection 499: 677 total wait time, 221 streets in the intersection
Street 205, intersection 499: 677 total wait time, 221 streets in the intersection
Street 189, intersection 499: 675 total wait time, 221 streets in the intersection
Street 909, intersection 499: 674 total wait time, 221 streets in the intersection
Street 985, intersection 499: 666 total wait time, 221 streets in the intersection
Street 681, intersection 499: 663 total wait time, 221 streets in the intersection
Street 545, intersection 499: 662 total wait time, 221 streets in the intersection
Street 473, intersection 499: 655 total wait time, 221 streets in the intersection
Street 501, intersection 499: 654 total wait time, 221 streets in the intersection
Street 769, intersection 499: 650 total wait time, 221 streets in the intersection
Street 281, intersection 499: 650 total wait time, 221 streets in the intersection
Street 669, intersection 499: 646 total wait time, 221 streets in the intersection
Street 209, intersection 499: 644 total wait time, 221 streets in the intersection
Street 905, intersection 499: 633 total wait time, 221 streets in the intersection
Street 649, intersection 499: 628 total wait time, 221 streets in the intersection
Street 253, intersection 499: 623 total wait time, 221 streets in the intersection
Street 221, intersection 499: 620 total wait time, 221 streets in the intersection
Street 817, intersection 499: 618 total wait time, 221 streets in the intersection
Street 981, intersection 499: 618 total wait time, 221 streets in the intersection
Street 25, intersection 499: 616 total wait time, 221 streets in the intersection
Street 969, intersection 499: 613 total wait time, 221 streets in the intersection
Street 445, intersection 499: 602 total wait time, 221 streets in the intersection
Street 105, intersection 499: 594 total wait time, 221 streets in the intersection
Street 349, intersection 499: 589 total wait time, 221 streets in the intersection
Street 585, intersection 499: 583 total wait time, 221 streets in the intersection
Street 481, intersection 499: 580 total wait time, 221 streets in the intersection
Street 665, intersection 499: 566 total wait time, 221 streets in the intersection
Street 493, intersection 499: 563 total wait time, 221 streets in the intersection
Street 813, intersection 499: 557 total wait time, 221 streets in the intersection
Street 745, intersection 499: 554 total wait time, 221 streets in the intersection
Street 369, intersection 499: 553 total wait time, 221 streets in the intersection
Street 181, intersection 499: 545 total wait time, 221 streets in the intersection
Street 793, intersection 499: 545 total wait time, 221 streets in the intersection
Street 593, intersection 499: 537 total wait time, 221 streets in the intersection
Street 157, intersection 499: 534 total wait time, 221 streets in the intersection
Street 497, intersection 499: 525 total wait time, 221 streets in the intersection
Street 893, intersection 499: 524 total wait time, 221 streets in the intersection
Street 829, intersection 499: 513 total wait time, 221 streets in the intersection
Street 877, intersection 499: 512 total wait time, 221 streets in the intersection
Street 45, intersection 499: 508 total wait time, 221 streets in the intersection
  => New best score by adding 1 to street 45: 720901
Street 617, intersection 499: 504 total wait time, 221 streets in the intersection
Street 605, intersection 499: 502 total wait time, 221 streets in the intersection
Street 389, intersection 499: 496 total wait time, 221 streets in the intersection
Street 805, intersection 499: 494 total wait time, 221 streets in the intersection
Street 457, intersection 499: 489 total wait time, 221 streets in the intersection
Street 977, intersection 499: 485 total wait time, 221 streets in the intersection
Street 937, intersection 499: 479 total wait time, 221 streets in the intersection
Street 949, intersection 499: 474 total wait time, 221 streets in the intersection
Street 749, intersection 499: 470 total wait time, 221 streets in the intersection
Street 845, intersection 499: 468 total wait time, 221 streets in the intersection
Street 49, intersection 499: 465 total wait time, 221 streets in the intersection
Street 613, intersection 499: 460 total wait time, 221 streets in the intersection
Street 565, intersection 499: 450 total wait time, 221 streets in the intersection
Street 741, intersection 499: 448 total wait time, 221 streets in the intersection
Street 73, intersection 499: 445 total wait time, 221 streets in the intersection
Street 409, intersection 499: 442 total wait time, 221 streets in the intersection
Street 301, intersection 499: 440 total wait time, 221 streets in the intersection
Street 929, intersection 499: 439 total wait time, 221 streets in the intersection
Street 149, intersection 499: 438 total wait time, 221 streets in the intersection
Street 809, intersection 499: 437 total wait time, 221 streets in the intersection
Street 405, intersection 499: 437 total wait time, 221 streets in the intersection
Street 577, intersection 499: 435 total wait time, 221 streets in the intersection
Street 197, intersection 499: 433 total wait time, 221 streets in the intersection
Street 825, intersection 499: 428 total wait time, 221 streets in the intersection
Street 125, intersection 499: 428 total wait time, 221 streets in the intersection
Street 1, intersection 499: 426 total wait time, 221 streets in the intersection
Street 57, intersection 499: 424 total wait time, 221 streets in the intersection
Street 997, intersection 499: 415 total wait time, 221 streets in the intersection
Street 77, intersection 499: 407 total wait time, 221 streets in the intersection
Street 549, intersection 499: 403 total wait time, 221 streets in the intersection
Street 129, intersection 499: 401 total wait time, 221 streets in the intersection
Street 345, intersection 499: 398 total wait time, 221 streets in the intersection
Street 93, intersection 499: 396 total wait time, 221 streets in the intersection
Street 353, intersection 499: 394 total wait time, 221 streets in the intersection
Street 881, intersection 499: 392 total wait time, 221 streets in the intersection
Street 329, intersection 499: 390 total wait time, 221 streets in the intersection
Street 757, intersection 499: 387 total wait time, 221 streets in the intersection
Street 561, intersection 499: 385 total wait time, 221 streets in the intersection
Street 265, intersection 499: 384 total wait time, 221 streets in the intersection
Street 753, intersection 499: 381 total wait time, 221 streets in the intersection
Street 729, intersection 499: 373 total wait time, 221 streets in the intersection
Street 785, intersection 499: 369 total wait time, 221 streets in the intersection
Street 529, intersection 499: 366 total wait time, 221 streets in the intersection
Street 121, intersection 499: 362 total wait time, 221 streets in the intersection
Street 393, intersection 499: 355 total wait time, 221 streets in the intersection
Street 917, intersection 499: 353 total wait time, 221 streets in the intersection
Street 453, intersection 499: 346 total wait time, 221 streets in the intersection
Street 541, intersection 499: 345 total wait time, 221 streets in the intersection
Street 401, intersection 499: 340 total wait time, 221 streets in the intersection
Street 165, intersection 499: 338 total wait time, 221 streets in the intersection
Street 101, intersection 499: 336 total wait time, 221 streets in the intersection
Street 673, intersection 499: 334 total wait time, 221 streets in the intersection
Street 849, intersection 499: 330 total wait time, 221 streets in the intersection
Street 433, intersection 499: 324 total wait time, 221 streets in the intersection
Street 153, intersection 499: 324 total wait time, 221 streets in the intersection
Street 537, intersection 499: 323 total wait time, 221 streets in the intersection
Street 601, intersection 499: 323 total wait time, 221 streets in the intersection
Street 293, intersection 499: 306 total wait time, 221 streets in the intersection
Street 941, intersection 499: 301 total wait time, 221 streets in the intersection
Street 717, intersection 499: 298 total wait time, 221 streets in the intersection
Street 297, intersection 499: 291 total wait time, 221 streets in the intersection
Street 677, intersection 499: 288 total wait time, 221 streets in the intersection
Street 361, intersection 499: 282 total wait time, 221 streets in the intersection
Street 37, intersection 499: 281 total wait time, 221 streets in the intersection
Street 373, intersection 499: 269 total wait time, 221 streets in the intersection
Street 993, intersection 499: 268 total wait time, 221 streets in the intersection
Street 469, intersection 499: 267 total wait time, 221 streets in the intersection
Street 633, intersection 499: 266 total wait time, 221 streets in the intersection
Street 841, intersection 499: 266 total wait time, 221 streets in the intersection
Street 261, intersection 499: 264 total wait time, 221 streets in the intersection
Street 957, intersection 499: 262 total wait time, 221 streets in the intersection
Street 173, intersection 499: 258 total wait time, 221 streets in the intersection
Street 213, intersection 499: 253 total wait time, 221 streets in the intersection
Street 933, intersection 499: 251 total wait time, 221 streets in the intersection
Street 653, intersection 499: 248 total wait time, 221 streets in the intersection
Street 133, intersection 499: 245 total wait time, 221 streets in the intersection
Street 821, intersection 499: 244 total wait time, 221 streets in the intersection
Street 697, intersection 499: 244 total wait time, 221 streets in the intersection
Street 321, intersection 499: 243 total wait time, 221 streets in the intersection
Street 273, intersection 499: 242 total wait time, 221 streets in the intersection
Street 313, intersection 499: 236 total wait time, 221 streets in the intersection
Street 461, intersection 499: 231 total wait time, 221 streets in the intersection
Street 161, intersection 499: 226 total wait time, 221 streets in the intersection
Street 853, intersection 499: 221 total wait time, 221 streets in the intersection
Street 689, intersection 499: 217 total wait time, 221 streets in the intersection
Street 989, intersection 499: 215 total wait time, 221 streets in the intersection
Street 897, intersection 499: 205 total wait time, 221 streets in the intersection
Street 309, intersection 499: 204 total wait time, 221 streets in the intersection
Street 661, intersection 499: 202 total wait time, 221 streets in the intersection
Street 953, intersection 499: 200 total wait time, 221 streets in the intersection
Street 533, intersection 499: 195 total wait time, 221 streets in the intersection
Street 65, intersection 499: 188 total wait time, 221 streets in the intersection
Street 773, intersection 499: 186 total wait time, 221 streets in the intersection
Street 801, intersection 499: 184 total wait time, 221 streets in the intersection
Street 385, intersection 499: 182 total wait time, 221 streets in the intersection
Street 513, intersection 499: 172 total wait time, 221 streets in the intersection
Street 761, intersection 499: 169 total wait time, 221 streets in the intersection
Street 973, intersection 499: 168 total wait time, 221 streets in the intersection
Street 901, intersection 499: 164 total wait time, 221 streets in the intersection
Street 645, intersection 499: 159 total wait time, 221 streets in the intersection
Street 889, intersection 499: 157 total wait time, 221 streets in the intersection
Street 597, intersection 499: 144 total wait time, 221 streets in the intersection
Street 861, intersection 499: 143 total wait time, 221 streets in the intersection
Street 873, intersection 499: 136 total wait time, 221 streets in the intersection
Street 685, intersection 499: 132 total wait time, 221 streets in the intersection
Street 657, intersection 499: 127 total wait time, 221 streets in the intersection
Street 837, intersection 499: 122 total wait time, 221 streets in the intersection
Street 765, intersection 499: 119 total wait time, 221 streets in the intersection
Street 525, intersection 499: 115 total wait time, 221 streets in the intersection
Street 789, intersection 499: 106 total wait time, 221 streets in the intersection
Street 117, intersection 499: 101 total wait time, 221 streets in the intersection
Street 441, intersection 499: 91 total wait time, 221 streets in the intersection
Street 381, intersection 499: 88 total wait time, 221 streets in the intersection
Street 277, intersection 499: 88 total wait time, 221 streets in the intersection
Street 705, intersection 499: 88 total wait time, 221 streets in the intersection
Street 517, intersection 499: 87 total wait time, 221 streets in the intersection
Street 29, intersection 499: 84 total wait time, 221 streets in the intersection
Street 229, intersection 499: 82 total wait time, 221 streets in the intersection
Street 113, intersection 499: 81 total wait time, 221 streets in the intersection
Street 965, intersection 499: 77 total wait time, 221 streets in the intersection
Street 185, intersection 499: 76 total wait time, 221 streets in the intersection
Street 425, intersection 499: 62 total wait time, 221 streets in the intersection
Street 217, intersection 499: 60 total wait time, 221 streets in the intersection
Street 201, intersection 499: 57 total wait time, 221 streets in the intersection
Street 465, intersection 499: 57 total wait time, 221 streets in the intersection
Street 305, intersection 499: 55 total wait time, 221 streets in the intersection
Street 797, intersection 499: 46 total wait time, 221 streets in the intersection
Street 609, intersection 499: 39 total wait time, 221 streets in the intersection
Street 737, intersection 499: 37 total wait time, 221 streets in the intersection
Street 13, intersection 499: 29 total wait time, 221 streets in the intersection
Street 573, intersection 499: 27 total wait time, 221 streets in the intersection
Street 325, intersection 499: 27 total wait time, 221 streets in the intersection
Street 429, intersection 499: 21 total wait time, 221 streets in the intersection
Street 245, intersection 499: 18 total wait time, 221 streets in the intersection
Street 560, intersection 281: 17 total wait time, 2 streets in the intersection
Street 380, intersection 191: 14 total wait time, 2 streets in the intersection
Street 724, intersection 363: 12 total wait time, 2 streets in the intersection
Street 776, intersection 389: 12 total wait time, 2 streets in the intersection
Street 824, intersection 413: 11 total wait time, 2 streets in the intersection
Street 732, intersection 367: 11 total wait time, 2 streets in the intersection
Street 780, intersection 391: 10 total wait time, 2 streets in the intersection
Street 188, intersection 95: 10 total wait time, 2 streets in the intersection
Street 812, intersection 407: 10 total wait time, 2 streets in the intersection
Street 15, intersection 7: 10 total wait time, 2 streets in the intersection
Street 527, intersection 263: 10 total wait time, 2 streets in the intersection
Street 169, intersection 499: 10 total wait time, 221 streets in the intersection
Round 2, new score: 720901
Greedy improver: 10 min wait time, 500 max streets per round
Street 341, intersection 499: 677 total wait time, 221 streets in the intersection
Street 621, intersection 499: 677 total wait time, 221 streets in the intersection
Street 141, intersection 499: 677 total wait time, 221 streets in the intersection
