Hash Code 2021

Simulation
----------
Duration     : 1640
Intersections: 10000
Streets      : 35030
Cars         : 1000
Max score    : 1328389
Bonus points : 100

Schedule
--------
Intersections   : 7660
Street lights   : 11472
Arrived cars    : 998
Earliest arrival: 1
Latest arrival  : 1606
Crossed streets : 11472
Total wait time : 17457
Schedule score  : 1310774
Incremental Improver: 100 rounds
Greedy improver: 10 min wait time, 500 max streets per round
Street 9183, intersection 4019: 19 total wait time, 2 streets in the intersection
Street 22634, intersection 5667: 19 total wait time, 2 streets in the intersection
Street 4802, intersection 2377: 19 total wait time, 2 streets in the intersection
Street 13401, intersection 5370: 19 total wait time, 2 streets in the intersection
Street 12920, intersection 3947: 19 total wait time, 2 streets in the intersection
Street 26191, intersection 2032: 18 total wait time, 2 streets in the intersection
Street 2492, intersection 748: 18 total wait time, 3 streets in the intersection
Street 30115, intersection 4446: 18 total wait time, 2 streets in the intersection
Street 22029, intersection 2487: 18 total wait time, 2 streets in the intersection
Street 1558, intersection 2081: 18 total wait time, 2 streets in the intersection
Street 13231, intersection 2033: 18 total wait time, 2 streets in the intersection
Street 2685, intersection 590: 18 total wait time, 2 streets in the intersection
Street 7239, intersection 4500: 18 total wait time, 4 streets in the intersection
Street 32870, intersection 2675: 18 total wait time, 4 streets in the intersection
Street 21430, intersection 4935: 18 total wait time, 2 streets in the intersection
Street 29875, intersection 5083: 18 total wait time, 3 streets in the intersection
Street 3797, intersection 4485: 18 total wait time, 3 streets in the intersection
Street 31141, intersection 1929: 18 total wait time, 2 streets in the intersection
Street 21220, intersection 3664: 18 total wait time, 3 streets in the intersection
Street 5540, intersection 4013: 18 total wait time, 2 streets in the intersection
Street 16592, intersection 4362: 18 total wait time, 2 streets in the intersection
Street 24908, intersection 5678: 18 total wait time, 3 streets in the intersection
Street 33870, intersection 3366: 18 total wait time, 3 streets in the intersection
Street 12789, intersection 6515: 18 total wait time, 2 streets in the intersection
Street 24693, intersection 5029: 18 total wait time, 3 streets in the intersection
Street 7948, intersection 4606: 18 total wait time, 2 streets in the intersection
Street 26868, intersection 5849: 18 total wait time, 2 streets in the intersection
Street 29744, intersection 3049: 18 total wait time, 2 streets in the intersection
Street 9898, intersection 8981: 18 total wait time, 2 streets in the intersection
Street 17709, intersection 589: 18 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 17709: 1310780
Street 20143, intersection 687: 18 total wait time, 2 streets in the intersection
Street 19650, intersection 4539: 18 total wait time, 3 streets in the intersection
Street 16085, intersection 4133: 18 total wait time, 2 streets in the intersection
Street 15238, intersection 4357: 17 total wait time, 2 streets in the intersection
Street 23856, intersection 6632: 17 total wait time, 3 streets in the intersection
Street 29528, intersection 6514: 17 total wait time, 2 streets in the intersection
Street 22929, intersection 476: 17 total wait time, 3 streets in the intersection
Street 2844, intersection 2668: 17 total wait time, 4 streets in the intersection
Street 19366, intersection 6276: 17 total wait time, 2 streets in the intersection
Street 7646, intersection 7898: 17 total wait time, 2 streets in the intersection
Street 34373, intersection 3280: 17 total wait time, 3 streets in the intersection
Street 27178, intersection 1511: 17 total wait time, 2 streets in the intersection
Street 28809, intersection 7004: 17 total wait time, 4 streets in the intersection
Street 21619, intersection 9575: 17 total wait time, 3 streets in the intersection
Street 1963, intersection 3612: 17 total wait time, 3 streets in the intersection
Street 27488, intersection 4956: 17 total wait time, 2 streets in the intersection
Street 17705, intersection 360: 17 total wait time, 3 streets in the intersection
Street 21599, intersection 4073: 17 total wait time, 2 streets in the intersection
Street 19606, intersection 7224: 17 total wait time, 3 streets in the intersection
Street 28228, intersection 2498: 17 total wait time, 2 streets in the intersection
Street 27054, intersection 874: 17 total wait time, 3 streets in the intersection
Street 9219, intersection 3266: 16 total wait time, 2 streets in the intersection
Street 16882, intersection 1779: 16 total wait time, 3 streets in the intersection
Street 9729, intersection 6586: 16 total wait time, 3 streets in the intersection
Street 13816, intersection 4356: 16 total wait time, 3 streets in the intersection
Street 24021, intersection 342: 16 total wait time, 2 streets in the intersection
Street 18772, intersection 9507: 16 total wait time, 2 streets in the intersection
Street 29803, intersection 4091: 16 total wait time, 3 streets in the intersection
Street 20440, intersection 3923: 16 total wait time, 2 streets in the intersection
Street 25390, intersection 1851: 16 total wait time, 2 streets in the intersection
Street 25561, intersection 7007: 16 total wait time, 2 streets in the intersection
Street 20937, intersection 6478: 16 total wait time, 2 streets in the intersection
Street 18241, intersection 8630: 16 total wait time, 3 streets in the intersection
Street 13492, intersection 6010: 16 total wait time, 3 streets in the intersection
  => New best score by adding 1 to street 13492: 1310813
Round 1, new score: 1310813
Greedy improver: 10 min wait time, 500 max streets per round
Street 22968, intersection 5660: 46 total wait time, 2 streets in the intersection
Street 13864, intersection 5768: 46 total wait time, 2 streets in the intersection
Street 12668, intersection 3309: 45 total wait time, 3 streets in the intersection
Street 20676, intersection 56: 44 total wait time, 3 streets in the intersection
Street 233, intersection 7752: 44 total wait time, 4 streets in the intersection
Street 23622, intersection 7241: 44 total wait time, 3 streets in the intersection
Street 32470, intersection 1294: 43 total wait time, 3 streets in the intersection
Street 5584, intersection 387: 43 total wait time, 2 streets in the intersection
Street 20695, intersection 6929: 41 total wait time, 3 streets in the intersection
Street 32620, intersection 3303: 40 total wait time, 3 streets in the intersection
Street 24650, intersection 5758: 38 total wait time, 2 streets in the intersection
Street 28877, intersection 443: 38 total wait time, 3 streets in the intersection
Street 31979, intersection 5771: 38 total wait time, 2 streets in the intersection
Street 1355, intersection 6586: 36 total wait time, 3 streets in the intersection
Street 25391, intersection 2031: 36 total wait time, 4 streets in the intersection
Street 24427, intersection 780: 35 total wait time, 4 streets in the intersection
Street 19740, intersection 393: 35 total wait time, 2 streets in the intersection
  => New best score by adding 0 to street 19740: 1310814
Street 6373, intersection 1443: 34 total wait time, 2 streets in the intersection
Street 32120, intersection 5273: 34 total wait time, 3 streets in the intersection
Street 13530, intersection 1296: 33 total wait time, 2 streets in the intersection
Street 26376, intersection 7190: 32 total wait time, 2 streets in the intersection
Street 20915, intersection 4215: 32 total wait time, 3 streets in the intersection
Street 7619, intersection 7752: 30 total wait time, 4 streets in the intersection
Street 22747, intersection 4402: 30 total wait time, 2 streets in the intersection
Street 1204, intersection 1712: 29 total wait time, 3 streets in the intersection
Street 28160, intersection 2366: 29 total wait time, 3 streets in the intersection
Street 30137, intersection 2031: 28 total wait time, 4 streets in the intersection
Street 7916, intersection 6897: 27 total wait time, 2 streets in the intersection
Street 2975, intersection 7757: 27 total wait time, 3 streets in the intersection
Street 9954, intersection 6774: 27 total wait time, 3 streets in the intersection
Street 1945, intersection 5763: 26 total wait time, 2 streets in the intersection
Street 11428, intersection 2634: 26 total wait time, 3 streets in the intersection
  => New best score by adding 1 to street 11428: 1310815
Street 10512, intersection 7852: 26 total wait time, 4 streets in the intersection
Street 12854, intersection 661: 26 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 12854: 1310816
Street 1091, intersection 6485: 26 total wait time, 2 streets in the intersection
Street 18161, intersection 6681: 26 total wait time, 2 streets in the intersection
Street 21350, intersection 3727: 26 total wait time, 3 streets in the intersection
Street 7757, intersection 7334: 26 total wait time, 4 streets in the intersection
Street 7915, intersection 7004: 26 total wait time, 4 streets in the intersection
Street 25364, intersection 858: 25 total wait time, 2 streets in the intersection
Street 26974, intersection 258: 25 total wait time, 2 streets in the intersection
Street 22444, intersection 376: 25 total wait time, 2 streets in the intersection
Street 31856, intersection 7842: 24 total wait time, 3 streets in the intersection
Street 26133, intersection 200: 24 total wait time, 2 streets in the intersection
Street 12349, intersection 4437: 24 total wait time, 3 streets in the intersection
Street 11059, intersection 3533: 24 total wait time, 2 streets in the intersection
Street 1890, intersection 1619: 24 total wait time, 3 streets in the intersection
Street 21622, intersection 1626: 24 total wait time, 2 streets in the intersection
Street 16754, intersection 3458: 23 total wait time, 3 streets in the intersection
Street 18030, intersection 4440: 23 total wait time, 3 streets in the intersection
Street 33479, intersection 3264: 23 total wait time, 3 streets in the intersection
Street 13832, intersection 799: 23 total wait time, 2 streets in the intersection
Street 11943, intersection 380: 23 total wait time, 2 streets in the intersection
Street 13337, intersection 6432: 23 total wait time, 2 streets in the intersection
Street 25497, intersection 1623: 22 total wait time, 4 streets in the intersection
Street 32631, intersection 7333: 22 total wait time, 2 streets in the intersection
Street 34377, intersection 8690: 22 total wait time, 3 streets in the intersection
Street 8887, intersection 677: 22 total wait time, 3 streets in the intersection
Street 28780, intersection 1629: 22 total wait time, 2 streets in the intersection
Street 2069, intersection 1631: 22 total wait time, 2 streets in the intersection
Street 2591, intersection 7219: 22 total wait time, 3 streets in the intersection
Street 21055, intersection 4077: 22 total wait time, 3 streets in the intersection
Street 25006, intersection 7334: 22 total wait time, 4 streets in the intersection
Street 13422, intersection 5685: 22 total wait time, 2 streets in the intersection
Street 1849, intersection 2880: 22 total wait time, 2 streets in the intersection
Street 6118, intersection 3194: 21 total wait time, 2 streets in the intersection
Street 26210, intersection 6510: 21 total wait time, 2 streets in the intersection
Street 27912, intersection 3047: 21 total wait time, 3 streets in the intersection
Street 14392, intersection 4185: 21 total wait time, 2 streets in the intersection
Street 8473, intersection 2594: 21 total wait time, 3 streets in the intersection
Street 29321, intersection 7266: 21 total wait time, 3 streets in the intersection
Street 21794, intersection 3538: 21 total wait time, 2 streets in the intersection
Street 27192, intersection 3463: 21 total wait time, 2 streets in the intersection
Street 6324, intersection 6924: 21 total wait time, 3 streets in the intersection
Street 5006, intersection 2960: 21 total wait time, 3 streets in the intersection
Street 18929, intersection 2802: 21 total wait time, 2 streets in the intersection
Street 9446, intersection 954: 21 total wait time, 3 streets in the intersection
Street 17716, intersection 1852: 20 total wait time, 2 streets in the intersection
Street 22250, intersection 6710: 20 total wait time, 3 streets in the intersection
Street 13079, intersection 7306: 20 total wait time, 3 streets in the intersection
Street 30122, intersection 3301: 20 total wait time, 2 streets in the intersection
Street 34187, intersection 8207: 20 total wait time, 4 streets in the intersection
Street 26935, intersection 2122: 20 total wait time, 2 streets in the intersection
Street 19017, intersection 4826: 20 total wait time, 2 streets in the intersection
Street 21328, intersection 6027: 20 total wait time, 3 streets in the intersection
Street 33904, intersection 3185: 20 total wait time, 2 streets in the intersection
Street 13641, intersection 1622: 20 total wait time, 2 streets in the intersection
Street 1178, intersection 4825: 20 total wait time, 2 streets in the intersection
Street 13401, intersection 5370: 19 total wait time, 2 streets in the intersection
Street 9183, intersection 4019: 19 total wait time, 2 streets in the intersection
Street 31238, intersection 4022: 19 total wait time, 2 streets in the intersection
Street 17926, intersection 608: 19 total wait time, 4 streets in the intersection
Street 8414, intersection 4021: 19 total wait time, 2 streets in the intersection
Street 5517, intersection 9868: 19 total wait time, 3 streets in the intersection
Street 32888, intersection 4554: 19 total wait time, 2 streets in the intersection
Street 4802, intersection 2377: 19 total wait time, 2 streets in the intersection
Street 22634, intersection 5667: 19 total wait time, 2 streets in the intersection
Street 3736, intersection 4326: 19 total wait time, 2 streets in the intersection
Street 12920, intersection 3947: 19 total wait time, 2 streets in the intersection
Street 19650, intersection 4539: 18 total wait time, 3 streets in the intersection
Street 21220, intersection 3664: 18 total wait time, 3 streets in the intersection
Street 20143, intersection 687: 18 total wait time, 2 streets in the intersection
Street 24908, intersection 5678: 18 total wait time, 3 streets in the intersection
Street 2492, intersection 748: 18 total wait time, 3 streets in the intersection
Street 24693, intersection 5029: 18 total wait time, 3 streets in the intersection
Street 2685, intersection 590: 18 total wait time, 2 streets in the intersection
Street 21430, intersection 4935: 18 total wait time, 2 streets in the intersection
Street 16592, intersection 4362: 18 total wait time, 2 streets in the intersection
Street 7948, intersection 4606: 18 total wait time, 2 streets in the intersection
Street 7239, intersection 4500: 18 total wait time, 4 streets in the intersection
Street 32870, intersection 2675: 18 total wait time, 4 streets in the intersection
Street 12789, intersection 6515: 18 total wait time, 2 streets in the intersection
Street 16085, intersection 4133: 18 total wait time, 2 streets in the intersection
Street 17709, intersection 589: 18 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 17709: 1310819
Street 29875, intersection 5083: 18 total wait time, 3 streets in the intersection
Street 26191, intersection 2032: 18 total wait time, 2 streets in the intersection
Street 33870, intersection 3366: 18 total wait time, 3 streets in the intersection
Street 29744, intersection 3049: 18 total wait time, 2 streets in the intersection
Street 22029, intersection 2487: 18 total wait time, 2 streets in the intersection
Street 9898, intersection 8981: 18 total wait time, 2 streets in the intersection
Street 1558, intersection 2081: 18 total wait time, 2 streets in the intersection
Street 13231, intersection 2033: 18 total wait time, 2 streets in the intersection
Street 31141, intersection 1929: 18 total wait time, 2 streets in the intersection
Street 30115, intersection 4446: 18 total wait time, 2 streets in the intersection
Street 3797, intersection 4485: 18 total wait time, 3 streets in the intersection
Street 5540, intersection 4013: 18 total wait time, 2 streets in the intersection
Street 29528, intersection 6514: 17 total wait time, 2 streets in the intersection
Street 7646, intersection 7898: 17 total wait time, 2 streets in the intersection
Street 5194, intersection 4945: 17 total wait time, 3 streets in the intersection
Street 27488, intersection 4956: 17 total wait time, 2 streets in the intersection
Street 19366, intersection 6276: 17 total wait time, 2 streets in the intersection
Street 27054, intersection 874: 17 total wait time, 3 streets in the intersection
Street 28809, intersection 7004: 17 total wait time, 4 streets in the intersection
Street 34373, intersection 3280: 17 total wait time, 3 streets in the intersection
Street 17705, intersection 360: 17 total wait time, 3 streets in the intersection
Street 22929, intersection 476: 17 total wait time, 3 streets in the intersection
Street 1963, intersection 3612: 17 total wait time, 3 streets in the intersection
Street 2844, intersection 2668: 17 total wait time, 4 streets in the intersection
Street 28228, intersection 2498: 17 total wait time, 2 streets in the intersection
Street 27178, intersection 1511: 17 total wait time, 2 streets in the intersection
Street 21599, intersection 4073: 17 total wait time, 2 streets in the intersection
Street 15238, intersection 4357: 17 total wait time, 2 streets in the intersection
Street 21619, intersection 9575: 17 total wait time, 3 streets in the intersection
Street 19606, intersection 7224: 17 total wait time, 3 streets in the intersection
Street 23856, intersection 6632: 17 total wait time, 3 streets in the intersection
Street 5781, intersection 3851: 16 total wait time, 2 streets in the intersection
Street 24856, intersection 1263: 16 total wait time, 3 streets in the intersection
Street 25390, intersection 1851: 16 total wait time, 2 streets in the intersection
Street 31909, intersection 3944: 16 total wait time, 2 streets in the intersection
Street 29803, intersection 4091: 16 total wait time, 3 streets in the intersection
Street 4961, intersection 4915: 16 total wait time, 4 streets in the intersection
  => New best score by adding 1 to street 4961: 1310825
  => New best score by adding 2 to street 4961: 1310826
Round 2, new score: 1310826
Greedy improver: 10 min wait time, 500 max streets per round
Street 13864, intersection 5768: 46 total wait time, 2 streets in the intersection
Street 22968, intersection 5660: 46 total wait time, 2 streets in the intersection
Street 12668, intersection 3309: 45 total wait time, 3 streets in the intersection
Street 20676, intersection 56: 44 total wait time, 3 streets in the intersection
Street 233, intersection 7752: 44 total wait time, 4 streets in the intersection
Street 23622, intersection 7241: 44 total wait time, 3 streets in the intersection
Street 32470, intersection 1294: 43 total wait time, 3 streets in the intersection
Street 5584, intersection 387: 43 total wait time, 2 streets in the intersection
Street 20695, intersection 6929: 41 total wait time, 3 streets in the intersection
Street 32620, intersection 3303: 40 total wait time, 3 streets in the intersection
Street 24650, intersection 5758: 38 total wait time, 2 streets in the intersection
Street 28877, intersection 443: 38 total wait time, 3 streets in the intersection
Street 31979, intersection 5771: 38 total wait time, 2 streets in the intersection
Street 1355, intersection 6586: 36 total wait time, 3 streets in the intersection
Street 25391, intersection 2031: 36 total wait time, 4 streets in the intersection
Street 24427, intersection 780: 35 total wait time, 4 streets in the intersection
Street 19740, intersection 393: 35 total wait time, 2 streets in the intersection
  => New best score by adding 0 to street 19740: 1310827
Street 32120, intersection 5273: 34 total wait time, 3 streets in the intersection
Street 6373, intersection 1443: 34 total wait time, 2 streets in the intersection
Street 13530, intersection 1296: 33 total wait time, 2 streets in the intersection
Street 26376, intersection 7190: 32 total wait time, 2 streets in the intersection
Street 20915, intersection 4215: 32 total wait time, 3 streets in the intersection
Street 7619, intersection 7752: 30 total wait time, 4 streets in the intersection
Street 22747, intersection 4402: 30 total wait time, 2 streets in the intersection
Street 28160, intersection 2366: 29 total wait time, 3 streets in the intersection
Street 1204, intersection 1712: 29 total wait time, 3 streets in the intersection
Street 30137, intersection 2031: 28 total wait time, 4 streets in the intersection
Street 9954, intersection 6774: 27 total wait time, 3 streets in the intersection
Street 7916, intersection 6897: 27 total wait time, 2 streets in the intersection
Street 2975, intersection 7757: 27 total wait time, 3 streets in the intersection
Street 21350, intersection 3727: 26 total wait time, 3 streets in the intersection
Street 10512, intersection 7852: 26 total wait time, 4 streets in the intersection
Street 1945, intersection 5763: 26 total wait time, 2 streets in the intersection
Street 12854, intersection 661: 26 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 12854: 1310829
Street 7757, intersection 7334: 26 total wait time, 4 streets in the intersection
Street 7915, intersection 7004: 26 total wait time, 4 streets in the intersection
Street 11428, intersection 2634: 26 total wait time, 3 streets in the intersection
Street 1091, intersection 6485: 26 total wait time, 2 streets in the intersection
Street 18161, intersection 6681: 26 total wait time, 2 streets in the intersection
Street 26974, intersection 258: 25 total wait time, 2 streets in the intersection
Street 25364, intersection 858: 25 total wait time, 2 streets in the intersection
Street 22444, intersection 376: 25 total wait time, 2 streets in the intersection
Street 11059, intersection 3533: 24 total wait time, 2 streets in the intersection
Street 21622, intersection 1626: 24 total wait time, 2 streets in the intersection
Street 12349, intersection 4437: 24 total wait time, 3 streets in the intersection
Street 1890, intersection 1619: 24 total wait time, 3 streets in the intersection
Street 31856, intersection 7842: 24 total wait time, 3 streets in the intersection
Street 26133, intersection 200: 24 total wait time, 2 streets in the intersection
Street 16754, intersection 3458: 23 total wait time, 3 streets in the intersection
Street 18030, intersection 4440: 23 total wait time, 3 streets in the intersection
Street 13337, intersection 6432: 23 total wait time, 2 streets in the intersection
Street 11943, intersection 380: 23 total wait time, 2 streets in the intersection
Street 33479, intersection 3264: 23 total wait time, 3 streets in the intersection
Street 13832, intersection 799: 23 total wait time, 2 streets in the intersection
Street 25006, intersection 7334: 22 total wait time, 4 streets in the intersection
Street 8887, intersection 677: 22 total wait time, 3 streets in the intersection
Street 1849, intersection 2880: 22 total wait time, 2 streets in the intersection
Street 28780, intersection 1629: 22 total wait time, 2 streets in the intersection
Street 32631, intersection 7333: 22 total wait time, 2 streets in the intersection
Street 13422, intersection 5685: 22 total wait time, 2 streets in the intersection
Street 21055, intersection 4077: 22 total wait time, 3 streets in the intersection
Street 25497, intersection 1623: 22 total wait time, 4 streets in the intersection
Street 2069, intersection 1631: 22 total wait time, 2 streets in the intersection
Street 2591, intersection 7219: 22 total wait time, 3 streets in the intersection
Street 34377, intersection 8690: 22 total wait time, 3 streets in the intersection
Street 18929, intersection 2802: 21 total wait time, 2 streets in the intersection
Street 21794, intersection 3538: 21 total wait time, 2 streets in the intersection
Street 6118, intersection 3194: 21 total wait time, 2 streets in the intersection
Street 8473, intersection 2594: 21 total wait time, 3 streets in the intersection
Street 5006, intersection 2960: 21 total wait time, 3 streets in the intersection
Street 9446, intersection 954: 21 total wait time, 3 streets in the intersection
Street 27192, intersection 3463: 21 total wait time, 2 streets in the intersection
Street 27912, intersection 3047: 21 total wait time, 3 streets in the intersection
Street 6324, intersection 6924: 21 total wait time, 3 streets in the intersection
Street 26210, intersection 6510: 21 total wait time, 2 streets in the intersection
Street 29321, intersection 7266: 21 total wait time, 3 streets in the intersection
  => New best score by adding 0 to street 29321: 1310831
Street 14392, intersection 4185: 21 total wait time, 2 streets in the intersection
Street 13641, intersection 1622: 20 total wait time, 2 streets in the intersection
Street 22250, intersection 6710: 20 total wait time, 3 streets in the intersection
Street 13079, intersection 7306: 20 total wait time, 3 streets in the intersection
Street 33904, intersection 3185: 20 total wait time, 2 streets in the intersection
Street 19017, intersection 4826: 20 total wait time, 2 streets in the intersection
Street 30122, intersection 3301: 20 total wait time, 2 streets in the intersection
Street 21328, intersection 6027: 20 total wait time, 3 streets in the intersection
Street 34187, intersection 8207: 20 total wait time, 4 streets in the intersection
Street 1178, intersection 4825: 20 total wait time, 2 streets in the intersection
Street 17716, intersection 1852: 20 total wait time, 2 streets in the intersection
Street 26935, intersection 2122: 20 total wait time, 2 streets in the intersection
Street 8414, intersection 4021: 19 total wait time, 2 streets in the intersection
Street 22634, intersection 5667: 19 total wait time, 2 streets in the intersection
Street 17926, intersection 608: 19 total wait time, 4 streets in the intersection
Street 3736, intersection 4326: 19 total wait time, 2 streets in the intersection
Street 4802, intersection 2377: 19 total wait time, 2 streets in the intersection
Street 31238, intersection 4022: 19 total wait time, 2 streets in the intersection
Street 29659, intersection 5738: 19 total wait time, 3 streets in the intersection
Street 9183, intersection 4019: 19 total wait time, 2 streets in the intersection
Street 12920, intersection 3947: 19 total wait time, 2 streets in the intersection
Street 32888, intersection 4554: 19 total wait time, 2 streets in the intersection
Street 5517, intersection 9868: 19 total wait time, 3 streets in the intersection
Street 13401, intersection 5370: 19 total wait time, 2 streets in the intersection
Street 20143, intersection 687: 18 total wait time, 2 streets in the intersection
Street 17709, intersection 589: 18 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 17709: 1310832
Street 7239, intersection 4500: 18 total wait time, 4 streets in the intersection
Street 7948, intersection 4606: 18 total wait time, 2 streets in the intersection
